sentence,construction_type,language
You wonder if he was manipulating the market with his bombing targets.,Interrogative-Polar-Indirect,english
"Baghdadis don't venture much out of their neighbourhoods any more, you never know where you might get stuck.",Interrogative-WHInfo-Indirect,english
There has been talk that the night curfew might be implemented again.,Interrogative-Polar-Direct,english
There has been talk that the night curfew might be implemented again.,Existential-CopPred-ThereExpl,english
"Yesterday there were tens of them putting road blocks on our street and setting up mortars, they only come out in the open when Americans leave the area, then they start firing mortars indiscriminately and shooting their AK-47's in the air.",Interrogative-Polar-Direct,english
"Yesterday there were tens of them putting road blocks on our street and setting up mortars, they only come out in the open when Americans leave the area, then they start firing mortars indiscriminately and shooting their AK-47's in the air.",Existential-CopPred-ThereExpl,english
"And there is nothing we can do about it really, people who are suggesting that we go out and fight them are living in dream land.",Interrogative-Polar-Direct,english
"And there is nothing we can do about it really, people who are suggesting that we go out and fight them are living in dream land.",Existential-CopPred-ThereExpl,english
"There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like ""This time we will be the first to loot, we didn't get anything the last time"".",Interrogative-Polar-Direct,english
"There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like ""This time we will be the first to loot, we didn't get anything the last time"".",Existential-CopPred-ThereExpl,english
So what happened?,Interrogative-WHInfo-Direct,english
"We all know what happened, but even to this day, there are many different versions and opinions on how it happened and what effect Chernobyl will have on the health of people affected by the fallout.",Interrogative-WHInfo-Indirect,english
It is a time to learn what happened and how it may affect the future.,Interrogative-WHInfo-Indirect,english
There was a soothing authoritative UNSCEAR (United Nations Scientific Committee on the Effects of Atomic Radiation ) report in 2000 on the health effects of Chernobyl confirming that there was no scientific evidence of any significant radiation-related health effects to most people exposed.,Interrogative-Polar-Direct,english
There was a soothing authoritative UNSCEAR (United Nations Scientific Committee on the Effects of Atomic Radiation ) report in 2000 on the health effects of Chernobyl confirming that there was no scientific evidence of any significant radiation-related health effects to most people exposed.,Existential-CopPred-ThereExpl,english
"In the last decade, there has been a real and significant increase in childhood and, to a certain extent, adult carcinoma of the thyroid in contaminated regions of the former Soviet Union (Wi940) which should be attributed to the Chernobyl accident until proven otherwise.",Interrogative-Polar-Direct,english
"In the last decade, there has been a real and significant increase in childhood and, to a certain extent, adult carcinoma of the thyroid in contaminated regions of the former Soviet Union (Wi940) which should be attributed to the Chernobyl accident until proven otherwise.",Existential-CopPred-ThereExpl,english
"As a parent, I can well imagine how painful it must be for those families whose children are succumbing to radiation poisoning.",Interrogative-WHInfo-Indirect,english
There is a lot to learn about Chernobyl.,Interrogative-Polar-Direct,english
There is a lot to learn about Chernobyl.,Existential-CopPred-ThereExpl,english
There are a wealth of references on Chernobyl.,Interrogative-Polar-Direct,english
There are a wealth of references on Chernobyl.,Existential-CopPred-ThereExpl,english
Don't have to mention what radiation has done and is still doing to Hirsohima & Nagaski folks--there can be no doubts about the effects of radiation in Chernobyl.......,Interrogative-WHInfo-Indirect,english
What do the new al-Qaeda videotape and audio speeches of Bin Laden and Ayman al-Zawahiri tell us about the hopes of the remaining top leadership of the organization?,Interrogative-WHInfo-Direct,english
"""Wait, wait, is this 50 questions?"" asked Bush.",Interrogative-Polar-Direct,english
