type,category,accuracy,precision,recall,f1,true_positives,false_positives,false_negatives
overall,all,0.10207677421218336,0.0022144438888492034,0.019296607531901648,0.003972958251898369,62,27936,3151
construction,NPN,0.007684680218145761,0.0,0.0,0.0,0,7974,32
construction,Interrogative-Polar-Indirect,0.14622641509433962,0.00392156862745098,0.009174311926605505,0.005494505494505494,1,254,108
construction,Interrogative-WHInfo-Indirect,0.017744705208929592,0.0012804097311139564,0.012658227848101266,0.0023255813953488376,4,3120,312
construction,Existential-CopPred-ThereExpl,0.04431736954967834,0.004268943436499467,0.00980392156862745,0.005947955390334573,4,933,404
construction,Existential-HavePred-ItExpl-ThereExpl,0.00546689004496958,8.949346697691069e-05,0.009345794392523364,0.00017728924740714476,1,11173,106
construction,Conditional-UnspecifiedEpistemic-NoInversion,0.04384724186704385,0.0027397260273972603,0.003194888178913738,0.0029498525073746312,2,728,624
construction,Interrogative-WHInfo-Direct,0.06391752577319587,0.07127882599580712,0.06813627254509018,0.06967213114754098,34,443,465
construction,Resultative,0.029793368572801536,0.0,0.0,0.0,0,1951,68
construction,Interrogative-Polar-Direct,0.04169468728984533,0.015906680805938492,0.029296875,0.020618556701030927,15,928,497
construction,Conditional-NeutralEpistemic,0.09365558912386707,0.002631578947368421,0.0045045045045045045,0.0033222591362126247,1,379,221
construction,Interrogative-Reduced,0.38509316770186336,0.0,0.0,0.0,0,53,46
construction,Conditional-Interrogative,0.96875,0.0,0.0,0.0,0,0,2
construction,Existential-CopPred-HereExpl,0.96875,0.0,0.0,0.0,0,0,2
construction,Conditional-NegativeEpistemic-NoInversion,0.8732394366197183,0.0,0.0,0.0,0,0,9
construction,"Existential-CopPred-ThereExpl,Interrogative-Polar-Indirect",0.8378378378378378,0.0,0.0,0.0,0,0,12
construction,"Conditional-UnspecifiedEpistemic-NoInversion,Interrogative-Polar-Direct",0.7654320987654321,0.0,0.0,0.0,0,0,19
construction,Conditional-UnspecifiedEpistemic-Reduced,0.6138613861386139,0.0,0.0,0.0,0,0,39
construction,"Existential-CopPred-ThereExpl,Interrogative-WHInfo-Direct,Interrogative-WHInfo-Direct#2",0.9841269841269841,0.0,0.0,0.0,0,0,1
construction,"Interrogative-WHInfo-Direct,Interrogative-WHInfo-Direct#2",0.9393939393939394,0.0,0.0,0.0,0,0,4
construction,"Interrogative-Polar-Direct,Interrogative-WHInfo-Direct",0.775,0.0,0.0,0.0,0,0,18
construction,"Interrogative-WHInfo-Indirect,Interrogative-WHInfo-Indirect#2",0.9393939393939394,0.0,0.0,0.0,0,0,4
construction,"Conditional-NegativeEpistemic-NoInversion,Conditional-NegativeEpistemic-Reduced",0.9841269841269841,0.0,0.0,0.0,0,0,1
construction,"Existential-CopPred-ThereExpl,Interrogative-WHInfo-Direct",0.96875,0.0,0.0,0.0,0,0,2
construction,Existential-ExistPred-NoExpl,0.7948717948717948,0.0,0.0,0.0,0,0,16
construction,Conditional-UnspecifiedEpistemic-SubjVerbInversion,0.8857142857142857,0.0,0.0,0.0,0,0,8
construction,"Conditional-UnspecifiedEpistemic-NoInversion,Existential-CopPred-ThereExpl",0.8378378378378378,0.0,0.0,0.0,0,0,12
construction,Conditional-NegativeEpistemic-SubjVerbInversion,0.9538461538461539,0.0,0.0,0.0,0,0,3
construction,"Existential-ExistPred-NoExpl,Interrogative-Polar-Direct",0.9841269841269841,0.0,0.0,0.0,0,0,1
construction,"Existential-CopPred-ThereExpl,Interrogative-Polar-Direct",0.96875,0.0,0.0,0.0,0,0,2
construction,Conditional-NegativeEpistemic-Reduced,0.96875,0.0,0.0,0.0,0,0,2
construction,"Conditional-UnspecifiedEpistemic-Reduced,Interrogative-WHInfo-Direct",0.9538461538461539,0.0,0.0,0.0,0,0,3
construction,"Conditional-UnspecifiedEpistemic-Reduced,Interrogative-Polar-Indirect",0.9841269841269841,0.0,0.0,0.0,0,0,1
construction,"Conditional-UnspecifiedEpistemic-Reduced,Interrogative-Polar-Direct",0.9253731343283582,0.0,0.0,0.0,0,0,5
construction,"Conditional-UnspecifiedEpistemic-Reduced,Existential-CopPred-ThereExpl",0.9538461538461539,0.0,0.0,0.0,0,0,3
construction,"Existential-CopPred-HereExpl,Existential-CopPred-ThereExpl",0.9841269841269841,0.0,0.0,0.0,0,0,1
